cluster,block_height,output_index,derived_p2pkh_address,amount_btc,script_type,source
E,17001,0,1LfMh2eT5MCJo1JiJyeYKzCQcCV23nyMDU,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
E,17003,0,1KEQrEruN7ky3eUeaw73tPvJzQZYMJdEnh,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
E,17004,0,1Kn6mQkud1tyhpxcnJjkZL3whFTZ2U3EHU,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
E,17005,0,15xthQxySTMhcdHMeYetaqefbbf5TTZENH,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
E,17006,0,1895bcufkUUrRpBsXLPwBfnRMuB54jXUb7,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
E,17007,0,1FupuiGjZrJPg8TiVi3fpXr4uqfTMUcJK5,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
E,17010,0,1KAd1AmHLyf5RRbEJL3Y4rQFThSmAo1fvC,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
E,17011,0,1F6JeDzTX4wERprzghmpCQJW2EagLTn6Fw,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
E,17013,0,1y8xWneB8yH9wBK6AcSzrm3LeSdaEhoCc,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
E,17015,0,18ezJowbZ7v1q5SWETR5T3E2FeX7xsJDAG,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
E,17016,0,1KkNKYestdRynML9U3h78PEYz2yBuz4AJr,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
E,17017,0,13sUjTxnXzEs548EokW6vypfqfQUPGNAYQ,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
E,17019,0,1DtT73ZMyBENpaSxYUzfty7j37Cw5pKmtU,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
E,17020,0,13X36gaX1Lbzhwf57GHKfEMHJA4jw9Yf9T,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
E,17021,0,1Q4f8WeFnSMk7SAGsmJ8cK5ErCLJkPu3XQ,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
E,17022,0,12aBxT95S3uK7JSpYEggoezftQfdKAh3Ea,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
E,17024,0,13cXFtEb4GH7enkx8DRa8rAKrs7HQid8Ev,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
E,17025,0,14EcR6CaVgenZ9hwwzZ3VN9rgH6t3XMwou,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
E,17026,0,16mfCS5oQuh1Ur3QaToXt65fVgteCeekV5,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
E,17027,0,161KiP73B7LonUMjfnN2ZrJNrUvYwNg88u,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
E,17028,0,1Mv5RPMxdsLvBka3H8cydW85Ju8X7YySFB,50.0,p2pk,https://raw.githubusercontent.com/bensig/patoshi-addresses/main/patoshi_pubkeys_COMPLETE.csv
